"PGA","PGV","Sa(T1)","Es","nu","rho","xi","c","phi","Ec","fy","tseg","mu","moment_ratio","diameter_strain_rate"
"0.34648686","0.028263873","0.234750662","67961407.15233408","0.4202128426606852","2136.322065040216","0.031075848125800092","29317.33839327619","14.621211416637433","35497254043.97612","0.0062908412283799505","0.3518211690436237","0.6058202628226806","1.050944307750274","0.7490923854847994"
"0.63793743","0.126499121","1.096459127","62934200.539668605","0.43734324903304583","1985.445568170296","0.03586002054115643","35439.56221785417","11.720927528004484","40219452923.78074","0.005908656160272561","0.34512720775023875","0.605392425527777","3.040257031460476","5.272212382821951"
"0.91331705","0.13007386","1.506833156","59486328.3332345","0.4373943202699783","1937.3830207079905","0.06474649374233711","26301.561987089957","13.283235607526741","30758790754.337162","0.005980771869112053","0.3528428558240846","0.6041440419435354","2.5506538578664335","7.33327255766813"
"0.8082968","0.084370781","0.805779449","61809900.44921734","0.42000021890178907","1922.6790354585735","0.05626393687455439","30721.341057125795","12.518234092738588","28744981500.554546","0.006229227770992643","0.3521911178134783","0.6024264063473003","2.264015104302179","3.8989534971339808"
"0.81531177","0.102068404","1.060919083","58914287.9927352","0.4306655494560853","1778.4752780969757","0.041298856977393494","35351.245477583536","9.826173821645192","34606536365.59628","0.005738922561364769","0.3462457574032336","0.5949956886793258","2.4955635284931663","4.0822973806812755"
"0.98845545","0.114352312","2.483340355","65386027.5129144","0.4151266048310221","2015.1904437029948","0.033542143925283915","27507.002336307505","13.891342547667476","37382544391.26894","0.005733575055903123","0.3434011497433764","0.5972168408445504","2.5010471648155725","3.9524305086772555"
"0.31257552","0.032854153","0.2361768","65463777.26569874","0.44913874111097923","2026.7021194562733","0.06285863978179368","31511.4011862292","10.653937334493937","32715282190.304905","0.005832273990090254","0.3471268772777173","0.5958758069635329","0.5554227005927125","1.0524388371184554"
"0.32620437","0.056199256","0.454483544","62323037.82285182","0.4425544476226413","1916.8504364190208","0.06190177989572445","28304.705291830236","11.393980865284176","40761835809.692986","0.00582399422010179","0.3536573998170936","0.5972355606122544","1.4585634443171207","2.0637380059095523"
"0.55831328","0.057572972","0.992580688","55571047.58755471","0.43227300208663594","1935.586348014289","0.034857067921064064","34901.066296125384","10.096122171177276","32734107346.018414","0.0061129565579549055","0.3485336211190141","0.598589328906037","2.164312889135809","2.4993368150675708"
"0.095204239","0.006598352","0.080760652","56558761.569498986","0.4155557276671214","1914.6557987559313","0.040662851428218766","35940.52664289189","9.866539617773498","33750667608.627625","0.006328621574102175","0.35056938197933624","0.5990628660241704","0.1854218209898008","0.2747500368479326"
"0.38389186","0.052972206","0.569531516","67304789.43037803","0.4250458245056337","2099.1273952350193","0.062218879466570474","35157.68821742741","11.131007125082903","35321817447.78956","0.005928348516352558","0.3520536714779077","0.5992337259182376","1.330782028","1.643960749620803"
"0.74271234","0.078938876","1.046736055","53115180.27187586","0.43721876709381774","1921.7823758581253","0.06711967029202426","26929.895115468586","12.290981620581586","28360583312.92904","0.006145238977068796","0.3555258549506419","0.6054631942457593","2.5301767130755057","3.958203864933559"
"0.16418278","0.013925138","0.256022494","65430224.29481583","0.44880718117460566","2000.480013414262","0.0656238856214725","30498.709376598694","11.069385090903761","31632883019.780502","0.006294008712865737","0.35476149316465927","0.5974152091428852","0.3918938089996374","0.5949191093453629"
